2015-02-20 07:52:23,363 -  INFO - org.springframework.web.context.ContextLoader - initWebApplicationContext - Root WebApplicationContext: initialization started
2015-02-20 07:52:49,633 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier24]
2015-02-20 07:52:49,664 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.RESOURCES
2015-02-20 07:52:49,680 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [modified_on, resource_id, sequence_no, resource_desc, modified_by, created_on, locale, resource_type, created_ by, module_code, url]
2015-02-20 07:52:49,680 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: []
2015-02-20 07:52:49,680 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier9]
2015-02-20 07:52:49,711 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.ROLES
2015-02-20 07:52:49,711 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [created_by, modified_on, status, modified_by, role_code, product_code, created_on, role_desc]
2015-02-20 07:52:49,711 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [depends on]
2015-02-20 07:52:49,711 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier8]
2015-02-20 07:52:49,742 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.ROLES_GROUP_ROLES
2015-02-20 07:52:49,742 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [role_code, product_code, group_role_code]
2015-02-20 07:52:49,742 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [is part of_group_roles, is part of_roles]
2015-02-20 07:52:49,742 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: []
2015-02-20 07:52:49,789 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.ROLES_HIERARCHY
2015-02-20 07:52:49,789 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [node_code, role_code, product_code]
2015-02-20 07:52:49,789 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [superset_roles, superset_hierarchy]
2015-02-20 07:52:49,789 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: []
2015-02-20 07:52:49,805 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.ROLES_RESOURCES
2015-02-20 07:52:49,805 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [resource_id, role_code, product_code]
2015-02-20 07:52:49,820 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [relationship10_roles]
2015-02-20 07:52:49,820 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: []
2015-02-20 07:52:49,852 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.SYS_PREFERENCES
2015-02-20 07:52:49,852 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [display_allowed, value_datatype, preference_code, modified_allowed, default_value, description, value_options]
2015-02-20 07:52:49,852 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: []
2015-02-20 07:52:49,867 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [sys_preferences_pk]
2015-02-20 07:52:49,930 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.USERS
2015-02-20 07:52:49,930 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [mno_id, name_prefix, home_state, shipping_state, modify_approved_on, created_on, level1_approved_by, home_zip_code, allowed_ip, religion, first_name, home_city, modified_by, from_time, col10, age, primary_phone_nbr, parent_account_id, to_time, created_by, pref_language, modified_on, secondary_phone_nbr3, account_id, delete_approved_on, secondary_phone_nbr2, user_type, status, middle_name, delete_approved_by, shipping_city, secondary_phone_nbr4, address_1, email, last_name, col5, col4, col7, col6, col1, col3, col2, level2_approved_on, remarks, col9, col8, home_address, shipping_address, node_code, secondary_phone_nbr, user_id, modify_approved_by, address_1_zip_code, address_1_city, msisdn, level2_approved_by, address_1_state, batch_id, level1_approved_on, shipping_zip_code, allowed_days, dob, authentication_type, last_login_on]
2015-02-20 07:52:49,930 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: []
2015-02-20 07:52:49,930 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier1]
2015-02-20 07:52:49,961 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.USERS_GROUP_ROLES
2015-02-20 07:52:49,961 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [account_id, group_role_code]
2015-02-20 07:52:49,961 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [are assigned_users, are assigned_group_roles]
2015-02-20 07:52:49,961 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: []
2015-02-20 07:52:49,992 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.USERS_KYC_INFO
2015-02-20 07:52:50,008 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [created_by, modified_on, kyc_doc_id, account_id, kyc_id, modified_by, created_on, kyc_doc_type, doc_type_desc]
2015-02-20 07:52:50,024 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [are validated with]
2015-02-20 07:52:50,024 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier4]
2015-02-20 07:52:50,055 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.USER_AUDIT_TRAIL
2015-02-20 07:52:50,055 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [modified_on, ip_address, account_id, created_on, action_taken_time, audit_id, user_id, action_result, action_desc, user_action_code]
2015-02-20 07:52:50,055 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [action create]
2015-02-20 07:52:50,055 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier14]
2015-02-20 07:52:50,102 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.USER_LOGON_AUDIT
2015-02-20 07:52:50,102 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [ip_address, osuser, account_id, logoff_time, logon_time, user_id, logon_audit_id]
2015-02-20 07:52:50,102 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [access creates]
2015-02-20 07:52:50,102 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier15]
2015-02-20 07:52:50,133 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.USER_PASSWORDS
2015-02-20 07:52:50,133 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [creation_date, account_id, pin, expiration_date, authentication_type, pin_status, pin_retry_count, password_change_flag]
2015-02-20 07:52:50,133 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [is authenticated with]
2015-02-20 07:52:50,133 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier13]
2015-02-20 07:52:50,164 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.USER_THRESHOLDS
